timestamp,latitude,longitude
0.0,10.865462,106.747206
0.5,10.865458400000001,106.74723350000001
1.0,10.8654548,106.74726100000001
1.5,10.8654512,106.74728850000001
2.0,10.865447600000001,106.747316
2.5,10.865444,106.7473435
3.0,10.8654404,106.747371
3.5,10.865436800000001,106.7473985
4.0,10.8654332,106.747426
4.5,10.8654296,106.7474535
5.0,10.865426000000001,106.74748100000001
5.5,10.8654224,106.74750850000001
6.0,10.8654188,106.747536
6.5,10.865415200000001,106.7475635
7.0,10.8654116,106.747591
7.5,10.865408,106.7476185
8.0,10.865404400000001,106.747646
8.5,10.8654008,106.7476735
9.0,10.8653972,106.747701
9.5,10.8653936,106.7477285
10.0,10.86539,106.747756
10.5,10.8653864,106.7477835
11.0,10.8653828,106.747811
11.5,10.8653792,106.7478385
12.0,10.8653756,106.747866
12.5,10.865372,106.7478935
13.0,10.8653684,106.747921
13.5,10.8653648,106.74794849999999
14.0,10.8653612,106.747976
14.5,10.8653576,106.7480035
15.0,10.865354,106.748031
