timestamp,latitude,longitude,road_name
0.0,10.806049,106.735659,Rose
0.5,10.806065673469387,106.73567224489796,Rose
1.0,10.806082346938775,106.73568548979591,Rose
1.5,10.806099020408164,106.73569873469387,Rose
2.0,10.806115693877551,106.73571197959184,Rose
2.5,10.806132367346938,106.7357252244898,Rose
3.0,10.806149040816326,106.73573846938775,Rose
3.5,10.806165714285713,106.73575171428571,Rose
4.0,10.806182387755102,106.73576495918367,Rose
4.5,10.80619906122449,106.73577820408163,Rose
5.0,10.806215734693877,106.73579144897958,Rose
5.5,10.806232408163265,106.73580469387755,Rose
6.0,10.806249081632652,106.73581793877551,Rose
6.5,10.806265755102041,106.73583118367347,Rose
7.0,10.806282428571429,106.73584442857143,Rose
7.5,10.806299102040816,106.73585767346938,Rose
8.0,10.806315775510203,106.73587091836734,Rose
8.5,10.80633244897959,106.7358841632653,Rose
9.0,10.80634912244898,106.73589740816327,Rose
9.5,10.806365795918367,106.73591065306123,Rose
10.0,10.806382469387755,106.73592389795918,Rose
10.5,10.806399142857142,106.73593714285714,Rose
11.0,10.80641581632653,106.7359503877551,Rose
11.5,10.806432489795919,106.73596363265305,Rose
12.0,10.806449163265306,106.73597687755101,Rose
12.5,10.806465836734693,106.73599012244898,Rose
13.0,10.80648251020408,106.73600336734694,Rose
13.5,10.80649918367347,106.7360166122449,Rose
14.0,10.806515857142857,106.73602985714285,Rose
14.5,10.806532530612245,106.73604310204081,Rose
15.0,10.806549204081632,106.73605634693877,Rose
15.5,10.80656587755102,106.73606959183672,Rose
16.0,10.806582551020409,106.7360828367347,Rose
16.5,10.806599224489796,106.73609608163265,Rose
17.0,10.806615897959183,106.73610932653061,Rose
17.5,10.80663257142857,106.73612257142857,Rose
18.0,10.806649244897958,106.73613581632652,Rose
18.5,10.806665918367347,106.73614906122448,Rose
19.0,10.806682591836735,106.73616230612244,Rose
19.5,10.806699265306122,106.73617555102041,Rose
20.0,10.80671593877551,106.73618879591837,Rose
20.5,10.806732612244897,106.73620204081632,Rose
21.0,10.806749285714286,106.73621528571428,Rose
21.5,10.806765959183673,106.73622853061224,Rose
22.0,10.80678263265306,106.7362417755102,Rose
22.5,10.806799306122448,106.73625502040815,Rose
23.0,10.806815979591835,106.73626826530612,Rose
23.5,10.806832653061225,106.73628151020408,Rose
24.0,10.806849326530612,106.73629475510204,Rose
24.5,10.806866,106.736308,Rose
